	reads	includedFinalTrees	
OAK-UMN-395.fq.gz	547278	TRUE	
OAK-UMN-397.fq.barcodeStripped.fq.gz	1069279	TRUE	
OAK-UMN-399.fq.gz	200104	TRUE	
PM-101a.fq.barcodeStripped.fq.gz	1003356	TRUE	
PM-103a.fq.barcodeStripped.fq.gz	981444	TRUE	
PM-104a.fq.barcodeStripped.fq.gz	1384768	TRUE	
PM107.fq.barcodeStripped.fq.gz	3842544	TRUE	
PM-10b.fq.barcodeStripped.fq.gz	1021084	TRUE	
PM11.fq.gz	2267297	TRUE	
PM-12b.fq.barcodeStripped.fq.gz	935835	TRUE	
PM141.fq.barcodeStripped.fq.gz	882917	TRUE	
PM143.fq.barcodeStripped.fq.gz	1314160	TRUE	
PM147.fq.barcodeStripped.fq.gz	1316611	TRUE	
PM148.fq.barcodeStripped.fq.gz	1368671	TRUE	
PM150.fq.barcodeStripped.fq.gz	1535704	TRUE	
PM155.fq.barcodeStripped.fq.gz	1567220	TRUE	
PM178.fq.barcodeStripped.fq.gz	3126994	TRUE	
PM179.fq.barcodeStripped.fq.gz	2008461	TRUE	
PM190.fq.barcodeStripped.fq.gz	1436565	TRUE	
PM-19.fq.barcodeStripped.fq.gz	1204730	TRUE	
PM1.fq.gz	2386492	TRUE	
PM2.fq.gz	1668977	TRUE	
PM-3b.fq.barcodeStripped.fq.gz	1193950	TRUE	
PM-47b.fq.barcodeStripped.fq.gz	1013687	TRUE	
PM-49.fq.barcodeStripped.fq.gz	1242471	TRUE	
PM4.fq.gz	2231703	TRUE	
PM-5b.fq.barcodeStripped.fq.gz	1292525	TRUE	
PM-80b.fq.barcodeStripped.fq.gz	1551193	TRUE	
PM-93b.fq.barcodeStripped.fq.gz	1191057	TRUE	
PM96_R1.fq.gz	2559856	TRUE	
PM-98.fq.barcodeStripped.fq.gz	1278231	TRUE	
